type,subtype,bedroomCount,bathroomCount,province,postCode,habitableSurface,buildingCondition,facedeCount,hasTerrace,epcScore,price,price_per_m2
APARTMENT,APARTMENT,3.0,3.0,Brussels,1030,225.0,JUST_RENOVATED,2.0,1,F,750000.0,3333.33
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,130.0,TO_RENOVATE,2.0,1,G,180000.0,1384.62
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,66.0,GOOD,2.0,1,F,245000.0,3712.12
APARTMENT,APARTMENT,3.0,2.0,Brussels,1030,125.0,AS_NEW,3.0,1,C,389000.0,3112.0
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,86.0,AS_NEW,2.0,1,C,499000.0,5802.33
APARTMENT,PENTHOUSE,2.0,1.0,Brussels,1030,131.0,AS_NEW,2.0,1,C,795000.0,6068.7
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,63.0,TO_BE_DONE_UP,2.0,1,G,159000.0,2523.81
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,99.0,TO_BE_DONE_UP,2.0,1,G,219000.0,2212.12
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,70.0,GOOD,2.0,1,G,269000.0,3842.86
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,90.0,JUST_RENOVATED,2.0,1,F,310000.0,3444.44
APARTMENT,FLAT_STUDIO,1.0,0.0,Brussels,1030,45.0,TO_BE_DONE_UP,2.0,0,E,145000.0,3222.22
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,80.0,AS_NEW,2.0,1,F,299000.0,3737.5
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,76.0,GOOD,2.0,1,D,265000.0,3486.84
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,51.0,AS_NEW,2.0,1,E,215000.0,4215.69
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,84.0,TO_RENOVATE,2.0,1,E,175000.0,2083.33
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,98.0,AS_NEW,2.0,1,C,360000.0,3673.47
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,50.0,JUST_RENOVATED,3.0,1,E,275000.0,5500.0
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,112.0,GOOD,2.0,1,D,375000.0,3348.21
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,78.0,TO_BE_DONE_UP,3.0,1,G,189000.0,2423.08
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,78.0,GOOD,2.0,1,G,285000.0,3653.85
